"PROTEIN","FBgn","FBgn_mel","SYMBOL","Sec","Unique.peptides","LFQ.intensity.CAG_1A","LFQ.intensity.CAG_1B","LFQ.intensity.CAG_2_1","LFQ.intensity.CAG_2_2","LFQ.intensity.CAG_3","LFQ.intensity.CEB_1A","LFQ.intensity.CEB_1B","LFQ.intensity.CEB_2_1","LFQ.intensity.CEB_2_2","LFQ.intensity.CEB_3","LFQ.intensity.VAG_1A","LFQ.intensity.VAG_1B","LFQ.intensity.VAG_2_1","LFQ.intensity.VAG_2_2","LFQ.intensity.VAG_3","LFQ.intensity.VEB_1A","LFQ.intensity.VEB_1B","LFQ.intensity.VEB_2_1","LFQ.intensity.VEB_2_2","LFQ.intensity.VEB_3"
"maker-scaffold175-size93988-augustus-gene-0.21-mRNA-1","FBgn0210157","FBgn0031459","GJ23055",NA,2,24907000,37538000,36030000,31548000,40198000,26354000,31783000,52215000,38027000,36008000,25659000,32679000,26995000,22717000,30167000,32318000,29246000,38585000,31058000,37830000
"maker-scaffold175-size93988-snap-gene-0.27-mRNA-1","FBgn0210148","FBgn0032618","GJ23046",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322000,1919300
"maker-scaffold1764-size20763-augustus-gene-0.12-mRNA-1","FBgn0197497","FBgn0031392","GJ10210",NA,2,0,0,0,0,0,3097000,4724500,2752200,2948600,2748500,0,0,0,0,0,2371300,2571400,2191400,1965100,0
"maker-scaffold1765-size42110-augustus-gene-0.5-mRNA-1","FBgn0203353","FBgn0053129","GJ16168",NA,5,50744000,35965000,43232000,45309000,40549000,18777000,18619000,7784900,9370100,35941000,49285000,41434000,50017000,42398000,44268000,21162000,10586000,27560000,33970000,30625000
"maker-scaffold177-size153351-augustus-gene-0.47-mRNA-1","FBgn0204451","FBgn0015834","GJ17275",NA,14,67710000,64529000,60853000,67528000,69047000,39796000,38478000,40908000,39506000,35145000,80972000,72375000,86652000,77035000,70811000,43941000,43255000,45229000,44801000,38880000
"maker-scaffold177-size153351-augustus-gene-0.58-mRNA-1","FBgn0211414","FBgn0015299","GJ24334",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4088800,0,0,0,0,0
"maker-scaffold177-size153351-snap-gene-0.68-mRNA-1","FBgn0204454","FBgn0032005","GJ17278",NA,3,0,6338800,5030500,0,7085300,5970900,6163200,6004900,6794900,6266900,5018700,0,4857900,4102800,4564600,5218400,4503700,5657200,4625300,5299000
"maker-scaffold177-size153351-snap-gene-0.79-mRNA-1","FBgn0211350","FBgn0031992","GJ24270",NA,2,15904000,17196000,9823400,14079000,14327000,69676000,77692000,53664000,69210000,68078000,0,12462000,12384000,9783800,12765000,35577000,56882000,59373000,42028000,61668000
"maker-scaffold1785-size21704-augustus-gene-0.6-mRNA-1","FBgn0200325","FBgn0036740","GJ13097",NA,4,0,0,0,0,0,6080200,6541500,6701900,9112200,6131800,0,0,0,0,0,5967800,7130400,5287200,5774600,5403800
"maker-scaffold1786-size15651-augustus-gene-0.8-mRNA-1","FBgn0208698","FBgn0259937","GJ21579",NA,6,99997000,92124000,70782000,66672000,83725000,50478000,49868000,36191000,35368000,36533000,93246000,103890000,101050000,100910000,70453000,54813000,48706000,39083000,32625000,21385000
"maker-scaffold1786-size15651-augustus-gene-0.9-mRNA-1","FBgn0207884","FBgn0034814","GJ20747",NA,3,0,0,0,0,0,5396000,5962500,5337300,6909900,5333500,0,0,0,0,0,6793900,6565300,5307600,0,5892900
"maker-scaffold1792-size44811-augustus-gene-0.22-mRNA-1","FBgn0206821","FBgn0004638","GJ19679",NA,7,0,0,0,8553000,10064000,12470000,13620000,14829000,15184000,15300000,0,0,8290100,7696200,6549900,10802000,12035000,10482000,9499600,12473000
"maker-scaffold179-size175554-snap-gene-0.11-mRNA-1","FBgn0202948","FBgn0005666","GJ15760",NA,169,138440000,115990000,114590000,114310000,76996000,1.338e+09,1196400000,292130000,290570000,194780000,149990000,116530000,171170000,157420000,118760000,367130000,432980000,368950000,352760000,228720000
"maker-scaffold17-size143674-augustus-gene-0.26-mRNA-1","FBgn0203925","FBgn0020618","GJ16744",NA,8,200290000,176930000,208660000,207410000,198560000,119760000,111340000,125300000,119570000,152600000,220970000,210890000,263340000,258990000,227050000,135480000,122140000,139110000,134230000,122910000
"maker-scaffold17-size143674-snap-gene-0.44-mRNA-1","FBgn0198407","FBgn0027779","GJ11146",NA,18,66502000,62499000,70887000,62996000,61326000,123740000,102020000,137590000,148180000,154850000,42940000,45674000,68509000,57451000,41476000,106380000,116250000,116290000,118390000,149050000
"maker-scaffold180-size179317-augustus-gene-0.25-mRNA-1","FBgn0210780","FBgn0261285","GJ23683",NA,4,0,0,0,0,0,13023000,12149000,11652000,13435000,11856000,0,0,0,0,0,9142800,10815000,10807000,9657000,10706000
"maker-scaffold180-size179317-snap-gene-1.13-mRNA-1","FBgn0210776","FBgn0262717","GJ23679","Sec",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2973700
"maker-scaffold1816-size40619-augustus-gene-0.3-mRNA-1",NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,9108200,0,0,0,0,0,0,0,0,0,0,0
"maker-scaffold1820-size41959-augustus-gene-0.5-mRNA-1","FBgn0013065","FBgn0000078","GJ17794","Sec",18,453450000,408730000,526290000,519540000,513450000,0,0,0,0,0,541220000,620020000,455110000,429410000,563480000,0,0,0,0,0
"maker-scaffold182-size90750-augustus-gene-0.38-mRNA-1","FBgn0199129","FBgn0036888","GJ11875",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199700
"maker-scaffold1832-size20035-snap-gene-0.17-mRNA-1","FBgn0199928","FBgn0025592","GJ12691",NA,2,0,0,0,0,0,0,0,0,0,3808800,0,0,0,0,0,0,0,0,3758800,0
"maker-scaffold1840-size19793-augustus-gene-0.8-mRNA-1","FBgn0203956","FBgn0030026","GJ16775",NA,2,0,0,0,0,0,2554200,3006800,2657700,3115900,2780600,0,0,0,0,0,0,2242600,0,2447900,2517200
"maker-scaffold1840-size19793-snap-gene-0.12-mRNA-1","FBgn0203955","FBgn0017566","GJ16774","Sec",12,50183000,43987000,41924000,52459000,37312000,70339000,72634000,49653000,52435000,38364000,53165000,45116000,50469000,46260000,40842000,43229000,39971000,44108000,43008000,29279000
"maker-scaffold1843-size45681-augustus-gene-0.16-mRNA-1","FBgn0202241","FBgn0025373","GJ15042",NA,6,0,0,0,0,0,23334000,27314000,34920000,37774000,30887000,0,0,0,0,0,38569000,35681000,40233000,35534000,36023000
"maker-scaffold184-size132515-augustus-gene-1.25-mRNA-1","FBgn0210418","FBgn0028833","GJ23317",NA,7,8542600,6873300,9286300,9292100,9952400,19760000,16136000,16717000,19759000,29223000,9974200,10267000,8690000,7555200,7862500,18982000,18759000,16580000,23973000,22554000
"maker-scaffold184-size132515-snap-gene-1.32-mRNA-1","FBgn0210416","FBgn0039405","GJ23315",NA,4,51079000,37631000,37301000,33876000,30453000,37465000,38090000,23598000,22039000,30515000,30084000,29637000,48489000,48039000,43389000,0,48751000,48641000,65228000,28802000
"maker-scaffold1857-size26151-augustus-gene-0.7-mRNA-1","FBgn0208534","FBgn0046879","GJ21408","Sfp",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16574000,16084000,0,0,1.5e+07
"maker-scaffold1860-size39702-augustus-gene-0.5-mRNA-1","FBgn0205900","FBgn0003371","GJ18748",NA,3,0,0,0,6812800,0,8966800,0,0,6516700,7084300,7197200,6041100,5848800,6186700,5959900,0,0,0,7569700,0
"maker-scaffold1863-size53872-snap-gene-0.12-mRNA-1","FBgn0206321","FBgn0083228","GJ19176",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1757800,0,0,0,0,0
"maker-scaffold1868-size11786-snap-gene-0.2-mRNA-1",NA,NA,NA,NA,13,56817000,49482000,67319000,68584000,66403000,162970000,153800000,234970000,249570000,315790000,64397000,61285000,72258000,68862000,71401000,181410000,175930000,201430000,196570000,254450000
"maker-scaffold188-size140497-snap-gene-1.35-mRNA-1","FBgn0209134","FBgn0001308","GJ22020",NA,16,103800000,92842000,98488000,112540000,93368000,160140000,170700000,172820000,157420000,148680000,112240000,118460000,116370000,125650000,101390000,185510000,178450000,165450000,155970000,156760000
"maker-scaffold18-size225254-augustus-gene-0.15-mRNA-1","FBgn0211466","FBgn0038020","GJ24386",NA,5,67133000,84425000,94868000,91607000,112910000,38181000,46052000,66712000,71632000,57502000,81843000,81636000,95581000,88249000,100520000,31647000,38319000,33611000,34633000,68294000
"maker-scaffold1911-size21169-augustus-gene-0.5-mRNA-1","FBgn0209371","FBgn0265434","GJ22258",NA,24,50619000,48464000,36670000,47742000,47877000,16808000,17025000,25485000,27043000,21634000,42106000,53241000,43135000,39506000,36236000,9537500,9956600,19053000,16927000,6136600
"maker-scaffold1914-size70411-augustus-gene-0.28-mRNA-1",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2224600
"maker-scaffold191-size139346-snap-gene-0.26-mRNA-1","FBgn0042732","FBgn0020506","GJ21358","Sec",8,11663000,14352000,14125000,13570000,25314000,0,0,0,0,0,23393000,24347000,24775000,20262000,39254000,0,0,0,0,0
"maker-scaffold191-size139346-snap-gene-0.29-mRNA-1",NA,NA,NA,NA,2,10159000,8280900,9908000,9157800,9412100,0,0,0,0,0,9206700,8810800,9491000,9314600,8934800,0,0,0,0,0
"maker-scaffold191-size139346-snap-gene-0.30-mRNA-1","FBgn0208484","FBgn0050463","GJ21354","Sfp",2,18845000,0,0,0,20042000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maker-scaffold192-size109582-augustus-gene-0.29-mRNA-1",NA,NA,NA,NA,7,57668000,55402000,58427000,61947000,55031000,0,0,0,0,0,82705000,77117000,78760000,76225000,76810000,0,0,0,0,0
"maker-scaffold1930-size26272-snap-gene-0.8-mRNA-1","FBgn0205521","FBgn0031836","GJ18362",NA,1,0,0,0,0,0,0,0,0,2534800,0,0,0,0,0,0,0,0,0,0,0
"maker-scaffold1936-size38040-augustus-gene-0.5-mRNA-1","FBgn0210686","FBgn0016119","GJ23589",NA,3,35323000,33740000,33275000,34399000,32931000,38098000,40243000,15034000,17836000,25994000,0,0,0,0,0,19852000,21425000,23160000,21645000,15251000
"maker-scaffold1957-size44547-snap-gene-0.32-mRNA-1","FBgn0202900","FBgn0025615","GJ15712",NA,2,0,0,0,2231200,6603700,0,0,0,0,0,0,0,1917600,0,0,0,0,0,0,0
"maker-scaffold195-size50053-augustus-gene-0.23-mRNA-1","FBgn0210952","FBgn0038868","GJ23857","Sec",2,0,0,0,2867600,3101200,3726400,4285000,0,3791100,0,5415900,7077400,5716700,5396600,5552000,6000100,7122500,6236800,6376900,7728000
"maker-scaffold195-size50053-snap-gene-0.27-mRNA-1","FBgn0210462",NA,"GJ23361",NA,7,178430000,252120000,183970000,161260000,162730000,82065000,79739000,78595000,96259000,77834000,196310000,165780000,181120000,167130000,176420000,92707000,99189000,82731000,92032000,82588000
"maker-scaffold195-size50053-snap-gene-0.31-mRNA-1","FBgn0210949","FBgn0037728","GJ23854",NA,2,18344000,0,15110000,14090000,18252000,16211000,17834000,15772000,15144000,15601000,16015000,13441000,20328000,0,13988000,18114000,16425000,15956000,15538000,18591000
"maker-scaffold196-size118590-augustus-gene-0.33-mRNA-1","FBgn0207820","FBgn0004463","GJ20682",NA,5,10002000,10594000,8499700,9195700,8751300,7093900,6646400,9565700,10920000,9800400,12846000,13450000,12545000,13259000,10248000,9605000,8836200,10888000,10482000,7698100
"maker-scaffold196-size118590-augustus-gene-1.15-mRNA-1","FBgn0208790","FBgn0265297","GJ21671",NA,13,193090000,206350000,196440000,197590000,207370000,72999000,67248000,61944000,75258000,78759000,217600000,198600000,252750000,253210000,232800000,81374000,75414000,83723000,84113000,71069000
"maker-scaffold197-size74663-augustus-gene-0.20-mRNA-1","FBgn0208033","FBgn0034246","GJ20897",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920150,0,0
"maker-scaffold198-size66291-snap-gene-0.16-mRNA-1","FBgn0206895","FBgn0034181","GJ19753",NA,3,14789000,0,11777000,0,0,0,0,3748200,0,3731200,20183000,14141000,13478000,14329000,9774300,3725400,2854000,3439500,3338100,2753600
"maker-scaffold1999-size39892-augustus-gene-0.13-mRNA-1","FBgn0197654","FBgn0039751","GJ10370",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6863800
"maker-scaffold19-size116871-augustus-gene-0.21-mRNA-1","FBgn0198582","FBgn0032961","GJ11322",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1443400
"maker-scaffold19-size116871-snap-gene-0.25-mRNA-1",NA,NA,NA,NA,7,2.027e+09,1902300000,1933200000,1972500000,1663200000,0,0,0,0,0,1099100000,1066300000,1.023e+09,952730000,959780000,0,0,0,0,0
"maker-scaffold1-size140626-augustus-gene-0.25-mRNA-1","FBgn0200952","FBgn0032229","GJ13731",NA,2,0,0,0,0,0,7443700,7711500,0,0,8009600,0,0,0,0,0,7517900,7538900,8670700,7839400,0
"maker-scaffold1-size140626-augustus-gene-1.18-mRNA-1","FBgn0201123","FBgn0015756","GJ13905",NA,10,99263000,93609000,113600000,102690000,108350000,38671000,35422000,61665000,64327000,72860000,88213000,89229000,109790000,116740000,115540000,57923000,48275000,66076000,75846000,48606000
"maker-scaffold1-size140626-snap-gene-0.50-mRNA-1","FBgn0201080","FBgn0027611","GJ13861",NA,40,169190000,211970000,204640000,260830000,249800000,2007100,2546200,2913400,2926500,3865200,284410000,251180000,283610000,251150000,365060000,10763000,10992000,12104000,9031900,15872000
"maker-scaffold1-size140626-snap-gene-0.52-mRNA-1","FBgn0201824","FBgn0027568","GJ14617",NA,6,0,0,6841500,6988300,5988600,4748200,4572000,5707000,0,5295200,5174800,4958500,4685300,5456200,8884000,4223200,3644100,5919700,6591500,7476700
"maker-scaffold1-size140626-snap-gene-1.28-mRNA-1","FBgn0201794","FBgn0032258","GJ14587",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2876700,0,0,0
"maker-scaffold2002-size12720-snap-gene-0.7-mRNA-1","FBgn0203182","FBgn0030719","GJ15997",NA,11,26906000,29674000,27704000,28514000,28168000,15113000,12991000,16021000,16450000,15038000,29707000,28271000,34639000,36478000,27810000,19968000,15934000,16662000,16761000,18228000
"maker-scaffold2007-size18492-augustus-gene-0.5-mRNA-1","FBgn0203051","FBgn0000346","GJ15864",NA,3,7185200,0,6246500,0,0,4592900,4581100,5413500,6068700,5542300,0,7560100,7920400,0,0,5270100,5732800,6296300,6129000,5357000
"maker-scaffold200-size60706-augustus-gene-0.19-mRNA-1","FBgn0198876","FBgn0086785","GJ11621",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086500,0
"maker-scaffold2012-size19190-augustus-gene-0.5-mRNA-1","FBgn0020071","FBgn0003149","GJ12302",NA,45,415900000,494100000,435180000,430430000,447110000,3173600000,3221900000,1340800000,1.21e+09,1009800000,430850000,443040000,410300000,415150000,406950000,1303300000,1386200000,1056100000,1092900000,976330000
"maker-scaffold2023-size33902-snap-gene-0.7-mRNA-1","FBgn0205966","FBgn0264975","GJ18818",NA,17,45856000,43445000,48784000,41451000,35210000,65965000,67149000,42857000,48594000,41580000,50114000,44801000,47551000,51334000,44296000,49042000,47897000,46835000,42372000,33859000
"maker-scaffold2027-size31906-snap-gene-0.6-mRNA-1","FBgn0206165","FBgn0052699","GJ19019",NA,9,0,0,0,0,0,18102000,18730000,24504000,24448000,29356000,0,0,0,0,0,24970000,24852000,34092000,31703000,23685000
"maker-scaffold2036-size33165-augustus-gene-0.10-mRNA-1","FBgn0203946","FBgn0027588","GJ16765","Sfp",29,123480000,110830000,1.39e+08,132860000,137560000,78567000,76234000,89857000,94215000,87001000,115740000,118170000,141160000,125390000,130430000,89407000,91466000,103160000,105630000,112330000
"maker-scaffold203-size96283-augustus-gene-0.45-mRNA-1","FBgn0206725","FBgn0002525","GJ19583",NA,10,22742000,17531000,19629000,26222000,14701000,21314000,19016000,8290700,10301000,5523700,28149000,14353000,28888000,33586000,13973000,12174000,8547000,9234800,7681000,5936400
"maker-scaffold2048-size24850-snap-gene-0.12-mRNA-1","FBgn0208015","FBgn0026761","GJ20879",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66122000
"maker-scaffold205-size172042-augustus-gene-1.10-mRNA-1","FBgn0210021","FBgn0039848","GJ22918",NA,2,0,0,0,0,0,2354500,2251600,0,0,3676600,0,0,1251000,1510600,0,2607500,4077800,4667200,4419200,5773800
"maker-scaffold2071-size27014-snap-gene-0.4-mRNA-1","FBgn0204860","FBgn0261822","GJ17691",NA,5,5157700,0,0,5621300,5790800,9068000,7389000,8991900,7205300,13205000,0,0,0,0,0,5021500,5273000,6273500,5675800,7953100
"maker-scaffold2075-size23547-augustus-gene-0.2-mRNA-1","FBgn0203980","FBgn0030592","GJ16801",NA,5,0,0,0,0,0,13005000,11306000,0,0,5260400,0,0,0,0,0,10695000,15542000,13636000,12501000,10781000
"maker-scaffold207-size63218-augustus-gene-0.25-mRNA-1","FBgn0207698","FBgn0032015","GJ20558","Sec",9,55803000,50461000,44858000,40377000,41425000,8984100,15676000,14402000,11030000,11808000,64521000,40335000,56366000,59786000,48085000,13151000,15186000,12581000,16524000,7951500
"maker-scaffold207-size63218-augustus-gene-0.26-mRNA-1","FBgn0207709","FBgn0261020","GJ20570","Sec",4,6816700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maker-scaffold2085-size18323-snap-gene-0.14-mRNA-1","FBgn0201654","FBgn0285937","GJ14443",NA,5,96348000,118260000,100390000,90552000,84789000,95921000,90618000,106850000,105220000,115830000,91774000,97853000,114270000,99870000,91906000,97810000,113900000,121920000,118470000,112200000
"maker-scaffold209-size117310-augustus-gene-0.31-mRNA-1","FBgn0206248","FBgn0028969","GJ19103",NA,14,102350000,97924000,98538000,106420000,86371000,33498000,37277000,43654000,50627000,42257000,81558000,95845000,100600000,101390000,95420000,46870000,46274000,55830000,58180000,58779000
"maker-scaffold209-size117310-augustus-gene-0.36-mRNA-1","FBgn0207607","FBgn0266711","GJ20467",NA,4,8702100,0,0,0,0,26955000,27101000,23809000,26664000,33039000,0,0,6422800,6768800,8600200,23737000,32689000,30165000,28301000,25821000
"maker-scaffold209-size117310-snap-gene-0.50-mRNA-1","FBgn0207602","FBgn0012051","GJ20462",NA,5,0,0,0,0,0,13839000,11909000,11390000,14167000,12191000,0,0,0,0,0,8984000,11542000,11051000,9934400,10793000
"maker-scaffold209-size117310-snap-gene-1.10-mRNA-1","FBgn0208991","FBgn0034920","GJ21874",NA,5,0,0,0,0,0,8002500,8208600,8842900,10091000,8556300,0,0,0,0,0,0,7176000,9450600,10157000,9100900
"maker-scaffold209-size117310-snap-gene-1.11-mRNA-1","FBgn0207599","FBgn0025352","GJ20459",NA,17,46490000,63114000,50038000,52602000,50412000,169750000,172220000,167310000,165110000,180080000,59766000,55555000,62613000,60124000,53374000,211090000,210630000,235230000,212490000,218360000
"maker-scaffold20-size272131-snap-gene-2.34-mRNA-1","FBgn0200925","FBgn0037182","GJ13704",NA,13,62687000,66897000,58125000,54355000,39477000,24471000,28045000,26516000,24900000,25034000,42070000,46658000,45125000,41574000,42048000,25121000,22768000,23611000,24850000,24073000
"maker-scaffold2101-size16594-augustus-gene-0.7-mRNA-1","FBgn0203069","FBgn0029689","GJ15882",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633300
"maker-scaffold2101-size16594-snap-gene-0.12-mRNA-1",NA,NA,NA,"Sec",6,14231000,10577000,10171000,11463000,7256500,4145500,5652800,3182400,4810600,4811100,9278300,6915000,13589000,13230000,7534700,5915700,5343900,4380800,4984600,3218500
"maker-scaffold2103-size43056-snap-gene-0.17-mRNA-1","FBgn0197601","FBgn0000244","GJ10315",NA,2,0,0,0,0,0,3028800,2792100,3314900,0,2485600,0,0,0,0,0,3808300,3135700,2302100,2483400,0
"maker-scaffold2113-size19377-augustus-gene-0.9-mRNA-1","FBgn0202720","FBgn0035422","GJ15527",NA,4,84868000,73675000,71792000,74338000,83156000,35821000,32700000,37251000,38113000,46041000,84417000,77767000,101690000,85983000,77649000,51633000,45177000,43912000,48713000,30395000
"maker-scaffold2116-size15062-augustus-gene-0.2-mRNA-1","FBgn0202284","FBgn0261625","GJ15085",NA,6,0,0,0,0,0,8429100,8094200,8137900,6444700,9811000,0,0,0,0,0,6867800,10069000,8208500,10617000,12726000
"maker-scaffold211-size266153-augustus-gene-2.21-mRNA-1","FBgn0210435","FBgn0015019","GJ23334",NA,10,27252000,49674000,33258000,29796000,29551000,40037000,44796000,44026000,46632000,44797000,27159000,23815000,28481000,30507000,28753000,38950000,42887000,47420000,50244000,37427000
"maker-scaffold211-size266153-snap-gene-2.32-mRNA-1","FBgn0210980","FBgn0037378","GJ23885",NA,8,5940600,9529900,4417800,8980000,5957900,10099000,12318000,19062000,20730000,14233000,7083500,5942600,8175200,5939000,8770000,12069000,9884400,19348000,21053000,21009000
"maker-scaffold2126-size10212-snap-gene-0.1-mRNA-1",NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,4270200,0,0,0,0,0,0,0
"maker-scaffold2129-size29232-snap-gene-0.11-mRNA-1","FBgn0211038","FBgn0087013","GJ23951",NA,11,16713000,12853000,15123000,16020000,14391000,16444000,20187000,17224000,19029000,16408000,15294000,12033000,17101000,14250000,17530000,17522000,17628000,15101000,17409000,18605000
"maker-scaffold212-size112983-augustus-gene-1.22-mRNA-1","FBgn0208605","FBgn0034915","GJ21479",NA,5,13805000,13757000,12324000,15776000,16207000,13904000,15726000,15279000,14755000,15716000,18444000,12801000,16222000,12777000,14270000,12589000,13683000,13781000,11094000,10700000
"maker-scaffold2155-size12889-snap-gene-0.10-mRNA-1","FBgn0204153","FBgn0025628","GJ16976",NA,4,0,0,0,0,0,3531000,3253700,0,0,4343800,0,0,0,2550800,0,3042600,0,4056700,2781400,3218300
"maker-scaffold215-size92894-augustus-gene-0.50-mRNA-1","FBgn0209801","FBgn0010774","GJ22697",NA,3,0,0,0,6738800,0,9655100,9197400,12310000,14403000,7456300,0,0,0,0,0,11067000,13613000,9012600,13333000,10278000
"maker-scaffold215-size92894-snap-gene-0.54-mRNA-1","FBgn0211641","FBgn0051547","GJ24561",NA,2,4240400,3345100,3122700,0,0,1870900,0,0,0,1939400,0,0,2716800,2393000,0,0,0,0,1786700,0
"maker-scaffold2161-size11021-augustus-gene-0.3-mRNA-1",NA,NA,NA,NA,5,7671600,8175600,0,0,0,29058000,29844000,20656000,21239000,17370000,0,5229500,0,8208500,6249900,23160000,22321000,24131000,22112000,23177000
"maker-scaffold2163-size25235-augustus-gene-0.6-mRNA-1","FBgn0203785","FBgn0020513","GJ16601",NA,4,0,0,0,0,7469100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maker-scaffold217-size75190-augustus-gene-0.22-mRNA-1","FBgn0204317","FBgn0053113","GJ17140",NA,4,25420000,14675000,31823000,33373000,34867000,0,0,0,0,27566000,22408000,21137000,49132000,44654000,41660000,0,0,18953000,16329000,18670000
"maker-scaffold2184-size25762-augustus-gene-0.7-mRNA-1","FBgn0205607","FBgn0265991","GJ18448",NA,3,0,0,0,0,0,8223800,7791000,0,0,5947000,0,0,0,0,0,5325200,5337700,6693700,4873400,4506400
"maker-scaffold2188-size27707-augustus-gene-0.8-mRNA-1",NA,NA,NA,NA,4,5215100000,3981600000,2423800000,2257900000,1936800000,5094800000,5450200000,2414800000,2372100000,2005500000,2099700000,2169900000,2097600000,1996300000,1.758e+09,1962600000,2050400000,1837800000,1861400000,1847300000
"maker-scaffold2197-size32082-augustus-gene-0.13-mRNA-1","FBgn0202386","FBgn0030930","GJ15190","Sec",6,19302000,14602000,15356000,12686000,20417000,6435900,7272300,8694800,5418700,8335200,13516000,14839000,12595000,14157000,15042000,8900100,8456400,12119000,8555000,8565700
"maker-scaffold2197-size32082-snap-gene-0.17-mRNA-1","FBgn0202385","FBgn0030932","GJ15189","Sfp",22,1.685e+09,1376300000,1565500000,1569100000,1407800000,13880000,18821000,5915700,6045300,14183000,1210700000,1.3e+09,1325900000,1374800000,1148800000,2231100,5571000,4507800,2295000,0
"maker-scaffold21-size102234-augustus-gene-0.11-mRNA-1","FBgn0201437","FBgn0015622","GJ14222","Sec",23,133560000,109470000,121180000,108700000,122420000,443870000,416650000,361040000,343870000,492790000,119690000,124720000,113080000,111010000,119080000,574460000,600970000,538030000,575320000,509370000
"maker-scaffold2201-size46647-snap-gene-0.13-mRNA-1","FBgn0210350","FBgn0267975","GJ23248",NA,6,14340000,0,0,23849000,26849000,20374000,19698000,20707000,18718000,26028000,17459000,15074000,16604000,17799000,20138000,22352000,27651000,29789000,25833000,30144000
"maker-scaffold2217-size57893-snap-gene-0.1-mRNA-1","FBgn0202609","FBgn0004106","GJ15416",NA,1,0,0,0,0,0,0,0,0,0,0,0,2602200,0,0,0,0,0,0,0,0
"maker-scaffold2217-size57893-snap-gene-0.2-mRNA-1","FBgn0202613","FBgn0032217","GJ15420",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296000
"maker-scaffold221-size59798-augustus-gene-0.25-mRNA-1","FBgn0044890","FBgn0024841","GJ10632",NA,2,0,0,0,0,0,10020000,14365000,16565000,17492000,22505000,0,0,0,0,0,13329000,15951000,24589000,24900000,24278000
"maker-scaffold221-size59798-augustus-gene-0.31-mRNA-1","FBgn0197801","FBgn0027583","GJ10521",NA,2,0,0,0,0,0,2113200,2108400,0,0,0,0,0,0,0,0,0,0,2354700,2237300,0
"maker-scaffold2234-size27227-augustus-gene-0.3-mRNA-1","FBgn0206089","FBgn0029722","GJ18943",NA,8,15985000,15651000,13182000,17114000,14593000,35454000,38105000,50995000,50555000,47342000,15995000,15096000,13928000,17017000,12401000,42925000,40016000,42244000,38485000,49851000
"maker-scaffold2243-size26307-snap-gene-0.6-mRNA-1","FBgn0204390","FBgn0267791","GJ17213",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512400
"maker-scaffold224-size68174-augustus-gene-0.20-mRNA-1","FBgn0205158","FBgn0086443","GJ17991",NA,15,44067000,49556000,56775000,54962000,51180000,33243000,26318000,48251000,37521000,40923000,41168000,39499000,56726000,56944000,46563000,35676000,44428000,48465000,41660000,43364000
"maker-scaffold224-size68174-snap-gene-0.28-mRNA-1","FBgn0205161","FBgn0002031","GJ17994","Sec",14,85311000,87224000,59634000,66235000,56269000,58972000,69126000,54186000,58968000,50104000,55274000,72843000,70666000,60843000,58392000,48707000,49058000,52315000,54421000,35216000
"maker-scaffold225-size216229-augustus-gene-0.35-mRNA-1","FBgn0210514","FBgn0039189","GJ23413",NA,2,0,0,4582400,6346500,0,0,0,0,0,0,0,4476600,4764300,3191900,0,0,0,0,0,0
"maker-scaffold225-size216229-augustus-gene-2.3-mRNA-1","FBgn0208951","FBgn0263120","GJ21833",NA,7,26432000,20880000,19594000,22582000,16502000,20821000,20436000,17352000,18893000,17442000,20809000,19835000,22589000,23623000,18859000,18468000,18308000,14997000,16098000,13809000
"maker-scaffold225-size216229-snap-gene-1.34-mRNA-1","FBgn0210522","FBgn0037891","GJ23421",NA,6,36081000,25501000,36250000,32748000,29401000,39251000,38416000,24745000,24230000,29849000,28005000,23511000,30322000,31601000,22905000,23635000,29099000,23958000,26124000,20446000
