"PROTEIN","ID","Gene","t","N","S","dN.dS","dN","dS","N.dN","S.dS"
"maker-scaffold93-size95087-augustus-gene-0.30-mRNA-1","05213","5213",0.06,1058.8,300.2,0.0337,0.0027,0.0806,2.9,24.2
"augustus_masked-scaffold93-size95087-abinit-gene-0.4-mRNA-1","05214","5214",0.044,1047.8,338.2,0.0432,0.0023,0.0525,2.4,17.8
"maker-scaffold93-size95087-augustus-gene-0.29-mRNA-1","05216","5216",0.141,244,83,0.0366,0.0061,0.1672,1.5,13.9
"augustus_masked-scaffold93-size95087-abinit-gene-0.2-mRNA-1","05217","5217",0.033,2915.9,783.1,0.0202,0.001,0.0489,2.9,38.3
"maker-scaffold1630-size37708-augustus-gene-0.15-mRNA-1","05222","5222",0.074,403.4,142.6,0.0935,0.007,0.0749,2.8,10.7
"maker-scaffold801-size55397-snap-gene-0.21-mRNA-1","05228","5228",0.184,4519.5,1492.5,0.0329,0.0074,0.2251,33.5,335.9
"augustus_masked-scaffold1587-size31891-abinit-gene-0.1-mRNA-1","05233","5233",0.128,840.2,209.8,0.1023,0.0155,0.1518,13,31.8
"maker-scaffold1587-size31891-augustus-gene-0.13-mRNA-1","05234","5234",0.104,837,249,0.1194,0.0129,0.1083,10.8,27
"snap_masked-scaffold1737-size22803-abinit-gene-0.4-mRNA-1","05237","5237",0.02,405.9,95.1,0.0376,0.0011,0.0303,0.5,2.9
"maker-scaffold1409-size27406-augustus-gene-0.6-mRNA-1","05239","5239",0.036,1245,444,0.0761,0.0029,0.0381,3.6,16.9
"maker-scaffold923-size81153-augustus-gene-0.16-mRNA-1","05251","5251",0.024,830.8,261.2,0.0692,0.0019,0.027,1.6,7
"augustus_masked-scaffold923-size81153-abinit-gene-0.4-mRNA-1","05252","5252",0.095,111.8,26.2,0.0168,0.0026,0.1556,0.3,4.1
"augustus_masked-scaffold910-size62977-abinit-gene-0.1-mRNA-1","05259","5259",0.033,616.2,163.8,0.0888,0.0035,0.0389,2.1,6.4
"maker-scaffold2813-size37478-augustus-gene-0.10-mRNA-1","05261","5261",0.04,1066,218,0.0385,0.0025,0.0654,2.7,14.3
"snap_masked-scaffold2813-size37478-abinit-gene-0.6-mRNA-1","05262","5262",0.061,1009.5,238.5,0.067,0.0056,0.083,5.6,19.8
"maker-scaffold1397-size80799-augustus-gene-0.8-mRNA-1","05263","5263",0.098,961,287,0.1369,0.0134,0.0979,12.9,28.1
"augustus_masked-scaffold4124-size12261-abinit-gene-0.0-mRNA-1","05268","5268",0.033,338.2,90.8,0.0767,0.0031,0.0409,1.1,3.7
"augustus_masked-scaffold2155-size12889-abinit-gene-0.0-mRNA-1","05277","5277",0.203,465.2,128.8,0.1486,0.0302,0.2034,14.1,26.2
"maker-scaffold346-size146846-snap-gene-0.31-mRNA-1","05289","5289",0.246,316.2,79.8,0.1419,0.037,0.2605,11.7,20.8
"maker-scaffold2103-size43056-snap-gene-0.17-mRNA-1","05308","5308",0.036,1152.6,341.4,0.0727,0.0031,0.0425,3.6,14.5
"maker-scaffold127-size85436-augustus-gene-0.29-mRNA-1","05309","5309",0.061,1460.5,429.5,0.0615,0.0046,0.0742,6.7,31.9
"maker-scaffold127-size85436-augustus-gene-0.28-mRNA-1","05310","5310",0.117,722.8,255.2,0.0709,0.0088,0.1242,6.4,31.7
"maker-scaffold127-size85436-augustus-gene-0.27-mRNA-1","05311","5311",0.049,1711.7,505.3,0.0804,0.0046,0.0568,7.8,28.7
"maker-scaffold127-size85436-augustus-gene-0.26-mRNA-1","05313","5313",0.013,311.8,84.2,0.1,0.0015,0.0147,0.5,1.2
"augustus_masked-scaffold127-size85436-abinit-gene-0.9-mRNA-1","05314","5314",0.022,564.4,164.6,0.0581,0.0016,0.027,0.9,4.4
"maker-scaffold127-size85436-snap-gene-0.46-mRNA-1","05315","5315",0.062,1067.8,339.2,0.0456,0.0034,0.0746,3.6,25.3
"maker-scaffold127-size85436-augustus-gene-0.32-mRNA-1","05316","5316",0.072,1061.5,327.5,0.0566,0.0049,0.0861,5.2,28.2
"maker-scaffold127-size85436-augustus-gene-0.34-mRNA-1","05318","5318",0.013,1056.9,335.1,0.0245,4e-04,0.0161,0.4,5.4
"augustus_masked-scaffold127-size85436-abinit-gene-0.12-mRNA-1","05322","5322",0.053,411.6,134.4,0.0392,0.0025,0.0647,1,8.7
"maker-scaffold2470-size8601-snap-gene-0.3-mRNA-1","05326","5326",0.032,775.2,238.8,0.04,0.0016,0.0405,1.3,9.7
"augustus_masked-scaffold3071-size23072-abinit-gene-0.1-mRNA-1","05330","5330",0.028,414.3,158.7,0.0634,0.0018,0.0287,0.8,4.6
"maker-scaffold3071-size23072-augustus-gene-0.4-mRNA-1","05331","5331",0.034,2392.3,673.7,0.0647,0.0027,0.0418,6.5,28.2
"augustus_masked-scaffold33-size104593-abinit-gene-0.8-mRNA-1","05332","5332",0.137,854.2,300.8,0.1824,0.021,0.1152,17.9,34.7
"augustus_masked-scaffold33-size104593-abinit-gene-0.11-mRNA-1","05333","5333",0.139,1643.3,555.7,0.1138,0.0156,0.1371,25.6,76.2
"maker-scaffold33-size104593-augustus-gene-0.40-mRNA-1","05335","5335",0.09,1431.7,491.3,0.089,0.0083,0.0937,11.9,46.1
"augustus_masked-scaffold33-size104593-abinit-gene-0.7-mRNA-1","05337","5337",0.059,350.5,120.5,0.0827,0.0051,0.0618,1.8,7.4
"maker-scaffold33-size104593-augustus-gene-0.41-mRNA-1","05340","5340",0.127,646.6,193.4,0.0351,0.0058,0.1641,3.7,31.8
"maker-scaffold33-size104593-augustus-gene-0.36-mRNA-1","05341","5341",0.016,663.6,185.4,0.0417,9e-04,0.0213,0.6,3.9
"augustus_masked-scaffold33-size104593-abinit-gene-0.3-mRNA-1","05342","5342",0.099,1239.2,380.8,0.0286,0.0037,0.1279,4.5,48.7
"maker-scaffold33-size104593-augustus-gene-0.44-mRNA-1","05343","5343",0.034,766.7,283.3,0.0159,6e-04,0.0407,0.5,11.5
"maker-scaffold33-size104593-augustus-gene-0.49-mRNA-1","05345","5345",0.12,1084.1,346.9,0.0747,0.01,0.1342,10.9,46.5
"maker-scaffold33-size104593-augustus-gene-0.46-mRNA-1","05350","5350",0.118,1167.7,386.3,0.0572,0.0077,0.135,9,52.2
"maker-scaffold348-size82608-augustus-gene-0.12-mRNA-1","05353","5353",0.137,623.7,168.3,0.055,0.0098,0.1784,6.1,30
"maker-scaffold348-size82608-augustus-gene-0.14-mRNA-1","05354","5354",0.038,3082.3,781.7,0.0931,0.0043,0.046,13.2,36
"augustus_masked-scaffold182-size90750-abinit-gene-0.10-mRNA-1","05359","5359",0.027,518.9,189.1,0.0419,0.0013,0.0303,0.7,5.7
"maker-scaffold182-size90750-snap-gene-0.50-mRNA-1","05360","5360",0.152,1699,485,0.2103,0.0276,0.1312,46.9,63.6
"maker-scaffold182-size90750-augustus-gene-0.34-mRNA-1","05361","5361",0.155,432.1,140.9,0.1204,0.0185,0.1535,8,21.6
"augustus_masked-scaffold182-size90750-abinit-gene-0.8-mRNA-1","05362","5362",0.091,863.9,288.1,0.0732,0.0073,0.1,6.3,28.8
"maker-scaffold182-size90750-augustus-gene-0.45-mRNA-1","05364","5364",0.08,1021.2,277.8,0.0399,0.0044,0.1093,4.5,30.4
"maker-scaffold182-size90750-snap-gene-0.57-mRNA-1","05366","5366",0.037,633.5,185.5,0.0902,0.0038,0.0418,2.4,7.8
"maker-scaffold182-size90750-augustus-gene-0.38-mRNA-1","05368","5368",0.023,1598.9,525.1,0.0276,8e-04,0.0285,1.3,15
"maker-scaffold182-size90750-snap-gene-0.52-mRNA-1","05369","5369",0.09,3673.7,1084.3,0.0639,0.0069,0.1081,25.4,117.2
"augustus_masked-scaffold182-size90750-abinit-gene-0.13-mRNA-1","05370","5370",0.04,2211.9,590.1,0.039,0.0022,0.0558,4.8,32.9
"augustus_masked-scaffold182-size90750-abinit-gene-0.0-mRNA-1","05374","5374",0.139,287.6,84.4,0.1034,0.0157,0.1515,4.5,12.8
"maker-scaffold355-size39217-augustus-gene-0.5-mRNA-1","05375","5375",0.092,2469.9,743.1,0.0477,0.0055,0.1144,13.5,85
"maker-scaffold355-size39217-augustus-gene-0.6-mRNA-1","05376","5376",0.126,1049.1,366.9,0.107,0.0133,0.1245,14,45.7
"maker-scaffold355-size39217-snap-gene-0.10-mRNA-1","05377","5377",0.121,1108.4,355.6,0.1037,0.013,0.1256,14.4,44.7
"maker-scaffold596-size59921-augustus-gene-0.25-mRNA-1","05379","5379",0.063,1817.5,543.5,0.048,0.0038,0.0786,6.9,42.7
"augustus_masked-scaffold596-size59921-abinit-gene-0.7-mRNA-1","05381","5381",0.048,367.5,100.5,0.0483,0.003,0.063,1.1,6.3
"maker-scaffold596-size59921-augustus-gene-0.28-mRNA-1","05384","5384",0.058,253.4,79.6,0.0493,0.0035,0.0705,0.9,5.6
"augustus_masked-scaffold596-size59921-abinit-gene-0.6-mRNA-1","05386","5386",0.063,4817.8,1317.2,0.0521,0.0043,0.082,20.6,108
"augustus_masked-scaffold560-size41610-abinit-gene-0.2-mRNA-1","05389","5389",0.05,473.4,108.6,0.0677,0.0047,0.0689,2.2,7.5
"maker-scaffold889-size108107-snap-gene-0.47-mRNA-1","05392","5392",0.038,744.4,209.6,0.0136,7e-04,0.0547,0.6,11.5
"maker-scaffold889-size108107-snap-gene-0.46-mRNA-1","05393","5393",0.033,1766.1,348.9,0.0381,0.0021,0.0558,3.8,19.5
"maker-scaffold889-size108107-augustus-gene-0.37-mRNA-1","05395","5395",0.085,847.8,217.2,0.0612,0.0069,0.1122,5.8,24.4
"augustus_masked-scaffold889-size108107-abinit-gene-0.2-mRNA-1","05396","5396",0.12,460.7,145.3,0.0506,0.0073,0.1432,3.3,20.8
"maker-scaffold889-size108107-snap-gene-0.50-mRNA-1","05399","5399",0.013,787.5,292.5,0.0204,3e-04,0.015,0.2,4.4
"augustus_masked-scaffold889-size108107-abinit-gene-0.0-mRNA-1","05400","5400",0.043,1477.6,400.4,0.0337,0.002,0.0599,3,24
"augustus_masked-scaffold889-size108107-abinit-gene-0.15-mRNA-1","05402","5402",0.14,613.6,196.4,0.1562,0.0202,0.1296,12.4,25.5
"maker-scaffold846-size49300-augustus-gene-0.7-mRNA-1","05410","5410",0.134,913.2,346.8,0.0079,0.0013,0.1586,1.1,55
"maker-scaffold846-size49300-snap-gene-0.12-mRNA-1","05412","5412",0.085,847.2,274.8,0.0813,0.0075,0.0929,6.4,25.5
"maker-scaffold992-size49097-augustus-gene-0.6-mRNA-1","05414","5414",0.092,1421.6,423.4,0.0577,0.0065,0.1118,9.2,47.3
"maker-scaffold602-size52133-snap-gene-0.17-mRNA-1","05426","5426",0.048,2232.2,647.8,0.1013,0.0053,0.0527,11.9,34.2
"maker-scaffold602-size52133-augustus-gene-0.15-mRNA-1","05427","5427",0.112,1319.7,375.3,0.0609,0.0085,0.1388,11.2,52.1
"augustus_masked-scaffold602-size52133-abinit-gene-0.2-mRNA-1","05428","5428",0.043,383.8,138.2,0.0409,0.002,0.0489,0.8,6.8
"augustus_masked-scaffold602-size52133-abinit-gene-0.3-mRNA-1","05429","5429",0.134,1100.1,339.9,0.0949,0.0138,0.1451,15.2,49.3
"maker-scaffold602-size52133-snap-gene-0.19-mRNA-1","05430","5430",0.152,388.7,121.3,0.0596,0.0107,0.179,4.2,21.7
"maker-scaffold3098-size19740-augustus-gene-0.4-mRNA-1","05434","5434",0.096,711.2,245.8,0.1024,0.0098,0.096,7,23.6
"augustus_masked-scaffold3098-size19740-abinit-gene-0.1-mRNA-1","05435","5435",0.099,948.8,263.2,0.03,0.0041,0.137,3.9,36.1
"maker-scaffold112-size74800-augustus-gene-0.15-mRNA-1","05436","5436",0.086,632.7,198.3,0.0296,0.0033,0.1101,2.1,21.8
"maker-scaffold112-size74800-augustus-gene-0.14-mRNA-1","05437","5437",0.129,1561.7,466.3,0.1266,0.0166,0.1315,26,61.3
"maker-scaffold112-size74800-augustus-gene-0.17-mRNA-1","05438","5438",0.126,1140.8,413.2,0.1115,0.0135,0.1212,15.4,50.1
"augustus_masked-scaffold112-size74800-abinit-gene-0.5-mRNA-1","05440","5440",0.179,634.6,238.4,0.0916,0.0161,0.1754,10.2,41.8
"maker-scaffold112-size74800-snap-gene-0.27-mRNA-1","05441","5441",0.106,854.3,252.7,0.0252,0.0036,0.143,3.1,36.1
"maker-scaffold112-size74800-snap-gene-0.26-mRNA-1","05443","5443",0.055,1122.5,344.5,0.0365,0.0026,0.0703,2.9,24.2
"maker-scaffold809-size97006-augustus-gene-0.15-mRNA-1","05451","5451",0.024,1059.3,317.7,0.0672,0.0019,0.0278,2,8.8
"maker-scaffold809-size97006-snap-gene-0.22-mRNA-1","05453","5453",0.134,5098.4,1633.6,0.0815,0.012,0.1473,61.2,240.6
"maker-scaffold111-size81186-augustus-gene-0.14-mRNA-1","05458","5458",0.072,1249,428,0.1399,0.0094,0.0671,11.7,28.7
"maker-scaffold2178-size9895-augustus-gene-0.3-mRNA-1","05465","5465",0.088,2893,776,0.0547,0.0063,0.1149,18.2,89.2
"maker-scaffold1629-size26357-augustus-gene-0.9-mRNA-1","05472","5472",0.132,605.5,144.5,0.0701,0.0123,0.176,7.5,25.4
"maker-scaffold1629-size26357-augustus-gene-0.11-mRNA-1","05473","5473",0.189,430.7,121.3,0.1228,0.0245,0.1998,10.6,24.2
"maker-scaffold1805-size24622-augustus-gene-0.6-mRNA-1","05483","5483",0.06,1698.8,491.2,0.0517,0.0039,0.0756,6.6,37.1
"augustus_masked-scaffold1564-size26448-abinit-gene-0.0-mRNA-1","05485","5485",0.032,895.3,232.7,0.0479,0.0021,0.0432,1.9,10.1
"augustus_masked-scaffold1564-size26448-abinit-gene-0.1-mRNA-1","05486","5486",0.033,417.7,143.3,0.0178,7e-04,0.0413,0.3,5.9
"maker-scaffold467-size46863-augustus-gene-0.17-mRNA-1","05497","5497",0.075,2938,974,0.0499,0.0044,0.0876,12.8,85.3
"maker-scaffold467-size46863-augustus-gene-0.16-mRNA-1","05499","5499",0.039,1983.6,647.4,0.079,0.0034,0.0428,6.7,27.7
"maker-scaffold467-size46863-augustus-gene-0.19-mRNA-1","05501","5501",0.105,905.1,318.9,0.0416,0.005,0.1201,4.5,38.3
"augustus_masked-scaffold467-size46863-abinit-gene-0.3-mRNA-1","05502","5502",0.16,1650.7,563.3,0.0674,0.0118,0.1752,19.5,98.7
"maker-scaffold2483-size20452-augustus-gene-0.3-mRNA-1","05506","5506",0.078,303.2,83.8,0.0886,0.008,0.0907,2.4,7.6
"maker-scaffold2413-size14199-snap-gene-0.4-mRNA-1","05507","5507",0.018,636.6,116.4,0.1142,0.0028,0.0244,1.8,2.8
"augustus_masked-scaffold294-size82556-abinit-gene-0.0-mRNA-1","05511","5511",0.108,504.1,131.9,0.0067,0.0011,0.1692,0.6,22.3
"maker-scaffold294-size82556-augustus-gene-0.42-mRNA-1","05513","5513",0.065,1251.2,281.8,0.0789,0.0069,0.0879,8.7,24.8
"augustus_masked-scaffold294-size82556-abinit-gene-0.9-mRNA-1","05517","5517",0.072,704.6,213.4,0.0264,0.0025,0.0944,1.8,20.1
"maker-scaffold294-size82556-snap-gene-0.55-mRNA-1","05518","5518",0.006,1339.3,412.7,0.0347,3e-04,0.0072,0.3,3
"maker-scaffold294-size82556-augustus-gene-0.38-mRNA-1","05519","5519",0.108,934,311,0.0729,0.0086,0.1179,8,36.7
"augustus_masked-scaffold294-size82556-abinit-gene-0.6-mRNA-1","05525","5525",0.129,2435.1,792.9,0.0766,0.0108,0.1412,26.3,112
"snap_masked-scaffold1674-size27149-abinit-gene-0.6-mRNA-1","05527","5527",0.085,597.6,116.4,0.0326,0.0048,0.1488,2.9,17.3
"maker-scaffold1674-size27149-augustus-gene-0.9-mRNA-1","05529","5529",0.033,1817.8,342.2,0.038,0.0022,0.0579,4,19.8
"maker-scaffold462-size112638-augustus-gene-0.18-mRNA-1","05535","5535",0.07,1630.9,487.1,0.0629,0.0052,0.0833,8.5,40.6
"maker-scaffold462-size112638-augustus-gene-0.20-mRNA-1","05537","5537",0.046,834.6,248.4,0.0349,0.0021,0.06,1.7,14.9
"maker-scaffold462-size112638-snap-gene-0.29-mRNA-1","05542","5542",0.103,1128.8,341.2,0.1083,0.0118,0.1089,13.3,37.2
"maker-scaffold160-size64281-augustus-gene-0.6-mRNA-1","05546","5546",0.101,230.4,66.6,0.089,0.0102,0.1143,2.3,7.6
"maker-scaffold2101-size16594-snap-gene-0.12-mRNA-1","05551","5551",0.17,1812,396,0.1053,0.0225,0.2134,40.7,84.5
"maker-scaffold404-size104415-snap-gene-0.17-mRNA-1","05562","5562",0.052,1141.5,280.5,0.0451,0.0034,0.0747,3.8,20.9
"maker-scaffold1368-size21940-augustus-gene-0.14-mRNA-1","05563","5563",0.089,958.3,310.7,0.0595,0.0061,0.1028,5.9,31.9
"maker-scaffold1368-size21940-augustus-gene-0.13-mRNA-1","05564","5564",0.076,604.4,178.6,0.0607,0.0056,0.0927,3.4,16.6
"maker-scaffold1368-size21940-augustus-gene-0.12-mRNA-1","05565","5565",0.145,193.6,43.4,0.0018,5e-04,0.2613,0.1,11.3
"maker-scaffold1368-size21940-snap-gene-0.22-mRNA-1","05568","5568",0.014,493.6,130.4,0.0192,4e-04,0.0208,0.2,2.7
"maker-scaffold1368-size21940-snap-gene-0.23-mRNA-1","05569","5569",0.082,796,242,0.0859,0.0078,0.0913,6.2,22.1
"maker-scaffold2038-size14031-augustus-gene-0.4-mRNA-1","05571","5571",0.083,1776.2,485.8,0.0539,0.0058,0.1074,10.3,52.2
"augustus_masked-scaffold2038-size14031-abinit-gene-0.0-mRNA-1","05572","5572",0.089,2034.3,536.7,0.0563,0.0066,0.1166,13.4,62.6
"maker-scaffold4490-size15378-augustus-gene-0.3-mRNA-1","05578","5578",0.048,1247.6,378.4,0.0267,0.0017,0.0638,2.1,24.1
"maker-scaffold4490-size15378-snap-gene-0.6-mRNA-1","05579","5579",0.055,666,231,0.0151,0.001,0.0679,0.7,15.7
"maker-scaffold1257-size25825-augustus-gene-0.7-mRNA-1","05580","5580",0.067,752.1,183.9,0.0067,7e-04,0.111,0.6,20.4
"maker-scaffold1257-size25825-snap-gene-0.10-mRNA-1","05581","5581",0.11,518.6,141.4,0.0516,0.0074,0.1443,3.9,20.4
"maker-scaffold4228-size7158-augustus-gene-0.2-mRNA-1","05582","5582",0.107,1248.2,350.8,0.102,0.0121,0.119,15.1,41.7
"augustus_masked-scaffold563-size53035-abinit-gene-0.0-mRNA-1","05584","5584",0.126,767.3,147.7,0.0791,0.0146,0.1842,11.2,27.2
"maker-scaffold3460-size5563-snap-gene-0.3-mRNA-1","05587","5587",0.085,1019.6,327.4,0.0923,0.0083,0.0904,8.5,29.6
"maker-scaffold1277-size47739-augustus-gene-0.19-mRNA-1","05588","5588",0.108,1420.6,481.4,0.1191,0.0125,0.1053,17.8,50.7
"maker-scaffold1277-size47739-augustus-gene-0.21-mRNA-1","05591","5591",0.193,715.4,220.6,0.3057,0.0419,0.137,30,30.2
"augustus_masked-scaffold1277-size47739-abinit-gene-0.6-mRNA-1","05593","5593",0.103,257.4,84.6,0.0444,0.0054,0.1221,1.4,10.3
"maker-scaffold1277-size47739-snap-gene-0.32-mRNA-1","05594","5594",0.037,529.9,151.1,0.025,0.0013,0.0505,0.7,7.6
"augustus_masked-scaffold1277-size47739-abinit-gene-0.4-mRNA-1","05595","5595",0.025,720.3,224.7,0.0284,9e-04,0.0321,0.7,7.2
"maker-scaffold1277-size47739-snap-gene-0.33-mRNA-1","05596","5596",0.037,1698.1,431.9,0.0319,0.0017,0.0536,2.9,23.2
"snap_masked-scaffold1277-size47739-abinit-gene-0.15-mRNA-1","05597","5597",0.069,1124.6,375.4,0.1754,0.0105,0.0601,11.9,22.5
"maker-scaffold13224-size869-snap-gene-0.3-mRNA-1","05598","5598",0.054,308.5,96.5,0.0866,0.0052,0.0595,1.6,5.7
"snap_masked-scaffold2138-size10127-abinit-gene-0.3-mRNA-1","05601","5601",0.076,806.3,237.7,0.0918,0.0078,0.0848,6.3,20.2
"maker-scaffold2039-size19510-augustus-gene-0.7-mRNA-1","05606","5606",0.333,1328.8,330.2,0.0265,0.0133,0.5043,17.7,166.5
"maker-scaffold1919-size44852-augustus-gene-0.12-mRNA-1","05607","5607",0.103,886,239,0.0242,0.0036,0.1488,3.2,35.6
"maker-scaffold1919-size44852-augustus-gene-0.11-mRNA-1","05608","5608",0.187,619.9,142.1,0.0922,0.022,0.2388,13.6,33.9
"snap_masked-scaffold1919-size44852-abinit-gene-0.10-mRNA-1","05609","5609",0.035,937.9,214.1,0.0067,4e-04,0.0603,0.4,12.9
"augustus_masked-scaffold295-size135286-abinit-gene-0.16-mRNA-1","05611","5611",0.077,601,182,0.0934,0.0079,0.0842,4.7,15.3
"maker-scaffold295-size135286-snap-gene-0.53-mRNA-1","05614","5614",0.094,1648,506,0.0753,0.0081,0.1077,13.4,54.5
"augustus_masked-scaffold295-size135286-abinit-gene-0.13-mRNA-1","05619","5619",0.013,355.5,121.5,0.0353,6e-04,0.016,0.2,1.9
"maker-scaffold295-size135286-snap-gene-0.56-mRNA-1","05621","5621",0.076,107.6,33.4,0.0672,0.0059,0.0882,0.6,2.9
"augustus_masked-scaffold295-size135286-abinit-gene-0.4-mRNA-1","05623","5623",0.07,1255.9,427.1,0.0651,0.005,0.0773,6.3,33
"augustus_masked-scaffold295-size135286-abinit-gene-0.2-mRNA-1","05624","5624",0.044,2245.4,883.6,0.0449,0.0021,0.0467,4.7,41.3
"maker-scaffold295-size135286-snap-gene-0.65-mRNA-1","05625","5625",0.35,227.4,81.6,0.0778,0.0282,0.3629,6.4,29.6
"maker-scaffold295-size135286-snap-gene-0.60-mRNA-1","05626","5626",0.144,670.2,217.8,0.0334,0.0059,0.1776,4,38.7
"maker-scaffold295-size135286-snap-gene-0.66-mRNA-1","05628","5628",0.017,267,111,0.0384,7e-04,0.0172,0.2,1.9
"maker-scaffold295-size135286-snap-gene-0.67-mRNA-1","05629","5629",0.02,1349.3,468.7,0.0529,0.0012,0.0222,1.6,10.4
"augustus_masked-scaffold295-size135286-abinit-gene-1.6-mRNA-1","05630","5630",0.034,860.7,282.3,0.0629,0.0024,0.0384,2.1,10.8
"maker-scaffold295-size135286-augustus-gene-1.15-mRNA-1","05632","5632",0.146,1369.5,475.5,0.0706,0.0111,0.157,15.2,74.7
"snap_masked-scaffold5527-size4136-abinit-gene-0.1-mRNA-1","05639","5639",0.079,385.6,97.4,0.062,0.0065,0.1047,2.5,10.2
"maker-scaffold835-size105273-augustus-gene-0.25-mRNA-1","05641","5641",0.08,1593.1,416.9,0.0454,0.005,0.1091,7.9,45.5
"augustus_masked-scaffold835-size105273-abinit-gene-0.2-mRNA-1","05642","5642",0.048,1261.8,310.2,0.0525,0.0035,0.0669,4.4,20.7
"augustus_masked-scaffold835-size105273-abinit-gene-0.6-mRNA-1","05643","5643",0.043,844.3,262.7,0.0452,0.0024,0.0529,2,13.9
"augustus_masked-scaffold835-size105273-abinit-gene-0.8-mRNA-1","05644","5644",0.015,794.1,240.9,0.0016,0,0.0212,0,5.1
"augustus_masked-scaffold835-size105273-abinit-gene-0.12-mRNA-1","05645","5645",0.026,1240.8,343.2,0.0421,0.0015,0.0348,1.8,12
"augustus_masked-scaffold835-size105273-abinit-gene-0.7-mRNA-1","05647","5647",0.092,410.5,114.5,0.0498,0.0059,0.1188,2.4,13.6
"maker-scaffold835-size105273-augustus-gene-0.32-mRNA-1","05648","5648",0.094,914.1,258.9,0.0668,0.0077,0.1148,7,29.7
"maker-scaffold835-size105273-augustus-gene-0.31-mRNA-1","05649","5649",0.07,1264.9,412.1,0.0508,0.0042,0.0827,5.3,34.1
"maker-scaffold835-size105273-augustus-gene-0.30-mRNA-1","05652","5652",0.082,1200,393,0.091,0.0079,0.0867,9.5,34.1
"maker-scaffold835-size105273-snap-gene-0.37-mRNA-1","05653","5653",0.173,705.4,218.6,0.1754,0.0273,0.1558,19.3,34.1
"augustus_masked-scaffold835-size105273-abinit-gene-0.4-mRNA-1","05654","5654",0.143,575.7,186.3,0.2015,0.0243,0.1205,14,22.4
"maker-scaffold4976-size4409-augustus-gene-0.3-mRNA-1","05656","5656",0.03,331.1,100.9,0.0236,9e-04,0.0399,0.3,4
"maker-scaffold387-size32679-augustus-gene-0.14-mRNA-1","05661","5661",0.03,2410.4,736.6,0.0801,0.0027,0.0337,6.5,24.8
"maker-scaffold387-size32679-augustus-gene-0.16-mRNA-1","05663","5663",0.019,882.9,293.1,0.0668,0.0014,0.0207,1.2,6.1
"snap_masked-scaffold387-size32679-abinit-gene-0.13-mRNA-1","05664","5664",0.104,585.5,191.5,0.0744,0.0085,0.1141,5,21.9
"augustus_masked-scaffold387-size32679-abinit-gene-0.4-mRNA-1","05665","5665",0.115,1113.3,389.7,0.0696,0.0086,0.1233,9.6,48
"maker-scaffold387-size32679-snap-gene-0.24-mRNA-1","05666","5666",0.015,1227.7,395.3,0.0608,0.001,0.0168,1.3,6.6
"maker-scaffold387-size32679-augustus-gene-0.17-mRNA-1","05667","5667",0.105,431.1,132.9,0.0743,0.0089,0.1197,3.8,15.9
"maker-scaffold387-size32679-augustus-gene-0.18-mRNA-1","05668","5668",0.055,504.3,182.7,0.0365,0.0023,0.0631,1.2,11.5
"maker-scaffold1953-size29968-augustus-gene-0.9-mRNA-1","05672","5672",0.228,414.3,206.7,0.4224,0.0523,0.1238,21.7,25.6
"augustus_masked-scaffold2569-size16037-abinit-gene-0.3-mRNA-1","05674","5674",0.052,544.6,193.4,0.0513,0.0029,0.0573,1.6,11.1
"maker-scaffold2569-size16037-augustus-gene-0.10-mRNA-1","05676","5676",0.038,282.1,83.9,0.0306,0.0015,0.0501,0.4,4.2
"maker-scaffold2569-size16037-augustus-gene-0.13-mRNA-1","05678","5678",0.159,529.7,184.3,0.0612,0.0107,0.1744,5.7,32.1
"maker-scaffold2318-size15563-snap-gene-0.6-mRNA-1","05682","5682",0.403,117.4,29.6,0.2249,0.0793,0.3526,9.3,10.4
"maker-scaffold61-size192323-augustus-gene-0.20-mRNA-1","05684","5684",0.073,706.4,211.6,0.0876,0.0071,0.0811,5,17.2
"maker-scaffold61-size192323-augustus-gene-0.23-mRNA-1","05685","5685",0.073,1110.5,239.5,0.0169,0.0021,0.1268,2.4,30.4
"maker-scaffold61-size192323-augustus-gene-0.22-mRNA-1","05687","5687",0.102,871.8,229.2,0.0493,0.0068,0.1379,5.9,31.6
"maker-scaffold61-size192323-augustus-gene-0.24-mRNA-1","05688","5688",0.185,996.2,350.8,0.0601,0.0122,0.2025,12.1,71
"maker-scaffold61-size192323-augustus-gene-1.22-mRNA-1","05691","5691",0.163,1664.9,462.1,0.1543,0.0248,0.1605,41.2,74.2
"maker-scaffold61-size192323-snap-gene-1.30-mRNA-1","05692","5692",0.098,1751.4,465.6,0.0828,0.0098,0.1182,17.1,55
"maker-scaffold61-size192323-snap-gene-1.31-mRNA-1","05696","5696",0.05,975.8,287.2,0.0384,0.0025,0.0647,2.4,18.6
"maker-scaffold3141-size8823-snap-gene-0.3-mRNA-1","05701","5701",0.134,3385.5,853.5,0.0172,0.0036,0.2075,12.1,177.1
"maker-scaffold922-size75348-augustus-gene-0.36-mRNA-1","05706","5706",0.117,533.3,144.7,0.1729,0.0193,0.1119,10.3,16.2
"snap_masked-scaffold922-size75348-abinit-gene-0.28-mRNA-1","05708","5708",0.122,1361.2,303.8,0.0546,0.0098,0.1787,13.3,54.3
"maker-scaffold922-size75348-augustus-gene-0.40-mRNA-1","05712","5712",0.091,197.3,42.7,0.1011,0.0117,0.1158,2.3,4.9
